label,value,time
ces-main,26.72,2025-09-15T07:25:30+00:00
ces-main,26.72,2025-09-15T07:26:00+00:00
ces-main,26.72,2025-09-15T07:26:30+00:00
ces-main,26.72,2025-09-15T07:27:00+00:00
ces-main,26.72,2025-09-15T07:27:30+00:00
ces-main,26.72,2025-09-15T07:28:00+00:00
ces-main,26.72,2025-09-15T07:28:30+00:00
ces-main,26.72,2025-09-15T07:29:00+00:00
ces-main,26.72,2025-09-15T07:29:30+00:00
ces-main,26.72,2025-09-15T07:30:00+00:00
ces-main,26.72,2025-09-15T07:30:30+00:00
ces-main,26.72,2025-09-15T07:31:00+00:00
ces-main,26.72,2025-09-15T07:31:30+00:00
ces-main,26.72,2025-09-15T07:32:00+00:00
ces-main,26.72,2025-09-15T07:32:30+00:00
ces-main,26.72,2025-09-15T07:33:00+00:00
ces-main,26.72,2025-09-15T07:33:30+00:00
ces-main,26.72,2025-09-15T07:34:00+00:00
ces-main,26.72,2025-09-15T07:34:30+00:00
ces-main,26.72,2025-09-15T07:35:00+00:00
ces-main,26.72,2025-09-15T07:35:30+00:00
ces-main,26.72,2025-09-15T07:36:00+00:00
ces-main,26.72,2025-09-15T07:36:30+00:00
ces-main,26.72,2025-09-15T07:37:00+00:00
ces-main,26.72,2025-09-15T07:37:30+00:00
ces-main,26.72,2025-09-15T07:38:00+00:00
ces-main,26.72,2025-09-15T07:38:30+00:00
ces-main,26.72,2025-09-15T07:39:00+00:00
ces-main,26.72,2025-09-15T07:39:30+00:00
ces-main,26.72,2025-09-15T07:40:00+00:00
ces-main,26.72,2025-09-15T07:40:30+00:00
ces-main,26.72,2025-09-15T07:41:00+00:00
ces-main,26.72,2025-09-15T07:41:30+00:00
ces-main,26.72,2025-09-15T07:42:00+00:00
ces-main,26.72,2025-09-15T07:42:30+00:00
ces-main,26.72,2025-09-15T07:43:00+00:00
ces-main,26.72,2025-09-15T07:43:30+00:00
ces-main,26.72,2025-09-15T07:44:00+00:00
ces-main,26.72,2025-09-15T07:44:30+00:00
ces-main,26.72,2025-09-15T07:45:00+00:00
ces-main,26.72,2025-09-15T07:45:30+00:00
ces-main,26.72,2025-09-15T07:46:00+00:00
ces-main,26.72,2025-09-15T07:46:30+00:00
ces-main,26.72,2025-09-15T07:47:00+00:00
ces-main,26.72,2025-09-15T07:47:30+00:00
ces-main,26.72,2025-09-15T07:48:00+00:00
ces-main,26.72,2025-09-15T07:48:30+00:00
ces-main,26.72,2025-09-15T07:49:00+00:00
ces-main,26.72,2025-09-15T07:49:30+00:00
ces-main,26.72,2025-09-15T07:50:00+00:00
ces-main,26.72,2025-09-15T07:50:30+00:00
ces-main,26.72,2025-09-15T07:51:00+00:00
ces-main,26.72,2025-09-15T07:51:30+00:00
ces-main,26.72,2025-09-15T07:52:00+00:00
ces-main,26.72,2025-09-15T07:52:30+00:00
ces-main,26.72,2025-09-15T07:53:00+00:00
ces-main,26.72,2025-09-15T07:53:30+00:00
ces-main,26.72,2025-09-15T07:54:00+00:00
ces-main,26.72,2025-09-15T07:54:30+00:00
ces-main,26.72,2025-09-15T07:55:00+00:00
ces-main,26.72,2025-09-15T07:55:30+00:00
ces-main,26.72,2025-09-15T07:56:00+00:00
ces-main,26.72,2025-09-15T07:56:30+00:00
ces-main,26.72,2025-09-15T07:57:00+00:00
ces-main,26.72,2025-09-15T07:57:30+00:00
ces-main,26.72,2025-09-15T07:58:00+00:00
ces-main,26.72,2025-09-15T07:58:30+00:00
ces-main,26.72,2025-09-15T07:59:00+00:00
ces-main,26.72,2025-09-15T07:59:30+00:00
ces-main,26.72,2025-09-15T08:00:00+00:00
ces-main,26.72,2025-09-15T08:00:30+00:00
ces-main,26.72,2025-09-15T08:01:00+00:00
ces-main,26.72,2025-09-15T08:01:30+00:00
ces-main,26.72,2025-09-15T08:02:00+00:00
ces-main,26.72,2025-09-15T08:02:30+00:00
ces-main,26.72,2025-09-15T08:03:00+00:00
ces-main,26.72,2025-09-15T08:03:30+00:00
ces-main,26.72,2025-09-15T08:04:00+00:00
ces-main,26.72,2025-09-15T08:04:30+00:00
ces-main,26.72,2025-09-15T08:05:00+00:00
ces-main,26.72,2025-09-15T08:05:30+00:00
ces-main,26.72,2025-09-15T08:06:00+00:00
ces-main,26.72,2025-09-15T08:06:30+00:00
ces-main,26.72,2025-09-15T08:07:00+00:00
ces-main,26.72,2025-09-15T08:07:30+00:00
ces-main,26.72,2025-09-15T08:08:00+00:00
ces-main,26.72,2025-09-15T08:08:30+00:00
ces-main,26.72,2025-09-15T08:09:00+00:00
ces-main,26.72,2025-09-15T08:09:30+00:00
ces-main,26.72,2025-09-15T08:10:00+00:00
ces-main,26.72,2025-09-15T08:10:30+00:00
ces-main,26.72,2025-09-15T08:11:00+00:00
ces-main,26.72,2025-09-15T08:11:30+00:00
ces-main,26.72,2025-09-15T08:12:00+00:00
ces-main,26.72,2025-09-15T08:12:30+00:00
ces-main,26.72,2025-09-15T08:13:00+00:00
ces-main,26.72,2025-09-15T08:13:30+00:00
ces-main,26.72,2025-09-15T08:14:00+00:00
ces-main,26.72,2025-09-15T08:14:30+00:00
ces-main,26.72,2025-09-15T08:15:00+00:00
ces-main,26.72,2025-09-15T08:15:30+00:00
ces-main,26.72,2025-09-15T08:16:00+00:00
ces-main,26.72,2025-09-15T08:16:30+00:00
ces-main,26.72,2025-09-15T08:17:00+00:00
ces-main,26.72,2025-09-15T08:17:30+00:00
ces-main,26.72,2025-09-15T08:18:00+00:00
ces-main,26.72,2025-09-15T08:18:30+00:00
ces-main,26.72,2025-09-15T08:19:00+00:00
ces-main,26.72,2025-09-15T08:19:30+00:00
ces-main,26.72,2025-09-15T08:20:00+00:00
ces-main,26.72,2025-09-15T08:20:30+00:00
ces-main,26.72,2025-09-15T08:21:00+00:00
ces-main,26.72,2025-09-15T08:21:30+00:00
ces-main,26.72,2025-09-15T08:22:00+00:00
ces-main,26.72,2025-09-15T08:22:30+00:00
ces-main,26.72,2025-09-15T08:23:00+00:00
ces-main,26.72,2025-09-15T08:23:30+00:00
ces-main,26.72,2025-09-15T08:24:00+00:00
ces-main,26.72,2025-09-15T08:24:30+00:00
ces-main,26.72,2025-09-15T08:25:00+00:00
ces-main,26.72,2025-09-15T08:25:30+00:00
ces-main,26.72,2025-09-15T08:26:00+00:00
ces-main,26.72,2025-09-15T08:26:30+00:00
ces-main,26.72,2025-09-15T08:27:00+00:00
ces-main,26.72,2025-09-15T08:27:30+00:00
ces-main,26.72,2025-09-15T08:28:00+00:00
ces-main,26.72,2025-09-15T08:28:30+00:00
ces-main,26.72,2025-09-15T08:29:00+00:00
ces-main,26.72,2025-09-15T08:29:30+00:00
ces-main,26.72,2025-09-15T08:30:00+00:00
ces-main,26.72,2025-09-15T08:30:30+00:00
ces-main,26.72,2025-09-15T08:31:00+00:00
ces-main,26.72,2025-09-15T08:31:30+00:00
ces-main,26.72,2025-09-15T08:32:00+00:00
ces-main,26.72,2025-09-15T08:32:30+00:00
ces-main,26.72,2025-09-15T08:33:00+00:00
ces-main,26.72,2025-09-15T08:33:30+00:00
ces-main,26.72,2025-09-15T08:34:00+00:00
ces-main,26.72,2025-09-15T08:34:30+00:00
ces-main,26.72,2025-09-15T08:35:00+00:00
ces-main,26.72,2025-09-15T08:35:30+00:00
ces-main,26.72,2025-09-15T08:36:00+00:00
ces-main,26.72,2025-09-15T08:36:30+00:00
ces-main,26.72,2025-09-15T08:37:00+00:00
ces-main,26.72,2025-09-15T08:37:30+00:00
ces-main,26.72,2025-09-15T08:38:00+00:00
ces-main,26.72,2025-09-15T08:38:30+00:00
ces-main,26.72,2025-09-15T08:39:00+00:00
ces-main,26.72,2025-09-15T08:39:30+00:00
ces-main,26.72,2025-09-15T08:40:00+00:00
ces-main,26.72,2025-09-15T08:40:30+00:00
ces-main,26.72,2025-09-15T08:41:00+00:00
ces-main,26.72,2025-09-15T08:41:30+00:00
ces-main,26.72,2025-09-15T08:42:00+00:00
ces-main,26.72,2025-09-15T08:42:30+00:00
ces-main,26.72,2025-09-15T08:43:00+00:00
ces-main,26.72,2025-09-15T08:43:30+00:00
ces-main,26.72,2025-09-15T08:44:00+00:00
