label,value,time
ces-main,10464022528.00,2025-09-24T06:30:00+00:00
ces-main,10464022528.00,2025-09-24T07:00:00+00:00
ces-main,10464022528.00,2025-09-24T07:30:00+00:00
ces-main,10464022528.00,2025-09-24T08:00:00+00:00
ces-main,10464022528.00,2025-09-24T08:30:00+00:00
ces-main,10464022528.00,2025-09-24T09:00:00+00:00
ces-main,10464022528.00,2025-09-24T09:30:00+00:00
ces-main,10464022528.00,2025-09-24T10:00:00+00:00
ces-main,10464022528.00,2025-09-24T10:30:00+00:00
ces-main,10464022528.00,2025-09-24T11:00:00+00:00
ces-main,10464022528.00,2025-09-24T11:30:00+00:00
ces-main,10464022528.00,2025-09-24T12:00:00+00:00
ces-main,10464022528.00,2025-09-24T12:30:00+00:00
ces-main,10464022528.00,2025-09-24T13:00:00+00:00
ces-main,10464022528.00,2025-09-24T13:30:00+00:00
ces-main,10464022528.00,2025-09-24T14:00:00+00:00
ces-main,10464022528.00,2025-09-24T14:30:00+00:00
ces-main,10464022528.00,2025-09-24T15:00:00+00:00
ces-worker-0,10464022528.00,2025-09-15T06:30:00+00:00
ces-worker-0,10464022528.00,2025-09-15T07:00:00+00:00
ces-worker-0,10464022528.00,2025-09-15T07:30:00+00:00
ces-worker-0,10464022528.00,2025-09-15T08:00:00+00:00
ces-worker-0,10464022528.00,2025-09-15T08:30:00+00:00
ces-worker-0,10464022528.00,2025-09-15T09:00:00+00:00
ces-worker-0,10464022528.00,2025-09-15T09:30:00+00:00
ces-worker-0,10464022528.00,2025-09-15T10:00:00+00:00
ces-worker-0,10464022528.00,2025-09-15T10:30:00+00:00
ces-worker-0,10464022528.00,2025-09-15T11:00:00+00:00
ces-worker-0,10464022528.00,2025-09-15T11:30:00+00:00
ces-worker-0,10464022528.00,2025-09-15T12:00:00+00:00
ces-worker-0,10464022528.00,2025-09-15T12:30:00+00:00
ces-worker-0,10464022528.00,2025-09-15T13:00:00+00:00
ces-worker-0,10464022528.00,2025-09-15T13:30:00+00:00
ces-worker-0,10464022528.00,2025-09-15T14:00:00+00:00
ces-worker-0,10464022528.00,2025-09-15T14:30:00+00:00
ces-worker-0,10464022528.00,2025-09-16T06:30:00+00:00
ces-worker-0,10464022528.00,2025-09-16T07:00:00+00:00
ces-worker-0,10464022528.00,2025-09-16T07:30:00+00:00
ces-worker-0,10464022528.00,2025-09-16T08:00:00+00:00
ces-worker-0,10464022528.00,2025-09-16T08:30:00+00:00
ces-worker-0,10464022528.00,2025-09-16T09:00:00+00:00
ces-worker-0,10464022528.00,2025-09-16T09:30:00+00:00
ces-worker-0,10464022528.00,2025-09-16T10:00:00+00:00
ces-worker-0,10464022528.00,2025-09-16T10:30:00+00:00
ces-worker-0,10464022528.00,2025-09-16T11:00:00+00:00
ces-worker-0,10464022528.00,2025-09-16T11:30:00+00:00
ces-worker-0,10464022528.00,2025-09-16T12:00:00+00:00
ces-worker-0,10464022528.00,2025-09-16T12:30:00+00:00
ces-worker-0,10464022528.00,2025-09-16T13:00:00+00:00
ces-worker-0,10464022528.00,2025-09-16T13:30:00+00:00
ces-worker-0,10464022528.00,2025-09-16T14:00:00+00:00
ces-worker-0,10464022528.00,2025-09-16T14:30:00+00:00
ces-worker-0,10464022528.00,2025-09-17T06:30:00+00:00
ces-worker-0,10464022528.00,2025-09-17T07:00:00+00:00
ces-worker-0,10464022528.00,2025-09-17T07:30:00+00:00
ces-worker-0,10464022528.00,2025-09-17T08:00:00+00:00
ces-worker-0,10464022528.00,2025-09-17T08:30:00+00:00
ces-worker-0,10464022528.00,2025-09-17T09:00:00+00:00
ces-worker-0,10464022528.00,2025-09-17T09:30:00+00:00
ces-worker-0,10464022528.00,2025-09-17T10:00:00+00:00
ces-worker-0,10464022528.00,2025-09-17T10:30:00+00:00
ces-worker-0,10464022528.00,2025-09-17T11:00:00+00:00
ces-worker-0,10464022528.00,2025-09-17T11:30:00+00:00
ces-worker-0,10464022528.00,2025-09-17T12:00:00+00:00
ces-worker-0,10464022528.00,2025-09-17T12:30:00+00:00
ces-worker-0,10464022528.00,2025-09-17T13:00:00+00:00
ces-worker-0,10464022528.00,2025-09-17T13:30:00+00:00
ces-worker-0,10464022528.00,2025-09-17T14:00:00+00:00
ces-worker-0,10464022528.00,2025-09-17T14:30:00+00:00
ces-worker-0,10464022528.00,2025-09-18T05:30:00+00:00
ces-worker-0,10464022528.00,2025-09-18T06:00:00+00:00
ces-worker-0,10464022528.00,2025-09-18T06:30:00+00:00
ces-worker-0,10464022528.00,2025-09-18T07:00:00+00:00
ces-worker-0,10464022528.00,2025-09-18T07:30:00+00:00
ces-worker-0,10464022528.00,2025-09-18T08:00:00+00:00
ces-worker-0,10464022528.00,2025-09-18T08:30:00+00:00
ces-worker-0,10464022528.00,2025-09-18T09:00:00+00:00
ces-worker-0,10464022528.00,2025-09-18T09:30:00+00:00
ces-worker-0,10464022528.00,2025-09-18T10:00:00+00:00
ces-worker-0,10464022528.00,2025-09-18T10:30:00+00:00
ces-worker-0,10464022528.00,2025-09-18T11:00:00+00:00
ces-worker-0,10464022528.00,2025-09-18T11:30:00+00:00
ces-worker-0,10464022528.00,2025-09-18T12:00:00+00:00
ces-worker-0,10464022528.00,2025-09-18T12:30:00+00:00
ces-worker-0,10464022528.00,2025-09-18T13:00:00+00:00
ces-worker-0,10464022528.00,2025-09-18T13:30:00+00:00
ces-worker-0,10464022528.00,2025-09-19T06:30:00+00:00
ces-worker-0,10464022528.00,2025-09-19T07:00:00+00:00
ces-worker-0,10464022528.00,2025-09-19T07:30:00+00:00
ces-worker-0,10464022528.00,2025-09-19T08:00:00+00:00
ces-worker-0,10464022528.00,2025-09-19T08:30:00+00:00
ces-worker-0,10464022528.00,2025-09-19T09:00:00+00:00
ces-worker-0,10464022528.00,2025-09-19T09:30:00+00:00
ces-worker-0,10464022528.00,2025-09-19T10:00:00+00:00
ces-worker-0,10464022528.00,2025-09-19T10:30:00+00:00
ces-worker-0,10464022528.00,2025-09-19T11:00:00+00:00
ces-worker-0,10464022528.00,2025-09-19T11:30:00+00:00
ces-worker-0,10464022528.00,2025-09-19T12:00:00+00:00
ces-worker-0,10464022528.00,2025-09-19T12:30:00+00:00
ces-worker-0,10464022528.00,2025-09-19T13:00:00+00:00
ces-worker-0,10464022528.00,2025-09-19T13:30:00+00:00
ces-worker-0,10464022528.00,2025-09-19T14:00:00+00:00
ces-worker-0,10464022528.00,2025-09-19T14:30:00+00:00
ces-worker-0,10464022528.00,2025-09-23T10:00:00+00:00
ces-worker-0,10464022528.00,2025-09-23T10:30:00+00:00
ces-worker-0,10464022528.00,2025-09-23T11:00:00+00:00
ces-worker-0,10464022528.00,2025-09-23T11:30:00+00:00
ces-worker-0,10464022528.00,2025-09-23T12:00:00+00:00
ces-worker-0,10464022528.00,2025-09-23T12:30:00+00:00
ces-worker-0,10464022528.00,2025-09-23T13:00:00+00:00
ces-worker-0,10464022528.00,2025-09-23T13:30:00+00:00
ces-worker-0,10464022528.00,2025-09-23T14:00:00+00:00
ces-worker-0,10464022528.00,2025-09-23T14:30:00+00:00
ces-worker-0,10464022528.00,2025-09-23T15:00:00+00:00
ces-worker-0,10464022528.00,2025-09-24T06:30:00+00:00
ces-worker-0,10464022528.00,2025-09-24T07:00:00+00:00
ces-worker-0,10464022528.00,2025-09-24T07:30:00+00:00
ces-worker-0,10464022528.00,2025-09-24T08:00:00+00:00
ces-worker-0,10464022528.00,2025-09-24T08:30:00+00:00
ces-worker-0,10464022528.00,2025-09-24T09:00:00+00:00
ces-worker-0,10464022528.00,2025-09-24T09:30:00+00:00
ces-worker-0,10464022528.00,2025-09-24T10:00:00+00:00
ces-worker-0,10464022528.00,2025-09-24T10:30:00+00:00
ces-worker-0,10464022528.00,2025-09-24T11:00:00+00:00
ces-worker-0,10464022528.00,2025-09-24T11:30:00+00:00
ces-worker-0,10464022528.00,2025-09-24T12:00:00+00:00
ces-worker-0,10464022528.00,2025-09-24T12:30:00+00:00
ces-worker-0,10464022528.00,2025-09-24T13:00:00+00:00
ces-worker-0,10464022528.00,2025-09-24T13:30:00+00:00
ces-worker-0,10464022528.00,2025-09-24T14:00:00+00:00
ces-worker-0,10464022528.00,2025-09-24T14:30:00+00:00
ces-worker-0,10464022528.00,2025-09-24T15:00:00+00:00
ces-worker-1,10464022528.00,2025-09-15T06:30:00+00:00
ces-worker-1,10464022528.00,2025-09-15T07:00:00+00:00
ces-worker-1,10464022528.00,2025-09-15T07:30:00+00:00
ces-worker-1,10464022528.00,2025-09-15T08:00:00+00:00
ces-worker-1,10464022528.00,2025-09-15T08:30:00+00:00
ces-worker-1,10464022528.00,2025-09-15T09:00:00+00:00
ces-worker-1,10464022528.00,2025-09-15T09:30:00+00:00
ces-worker-1,10464022528.00,2025-09-15T10:00:00+00:00
ces-worker-1,10464022528.00,2025-09-15T10:30:00+00:00
ces-worker-1,10464022528.00,2025-09-15T11:00:00+00:00
ces-worker-1,10464022528.00,2025-09-15T11:30:00+00:00
ces-worker-1,10464022528.00,2025-09-15T12:00:00+00:00
ces-worker-1,10464022528.00,2025-09-15T12:30:00+00:00
ces-worker-1,10464022528.00,2025-09-15T13:00:00+00:00
ces-worker-1,10464022528.00,2025-09-15T13:30:00+00:00
ces-worker-1,10464022528.00,2025-09-15T14:00:00+00:00
ces-worker-1,10464022528.00,2025-09-15T14:30:00+00:00
ces-worker-1,10464022528.00,2025-09-16T06:30:00+00:00
ces-worker-1,10464022528.00,2025-09-16T07:00:00+00:00
ces-worker-1,10464022528.00,2025-09-16T07:30:00+00:00
ces-worker-1,10464022528.00,2025-09-16T08:00:00+00:00
ces-worker-1,10464022528.00,2025-09-16T08:30:00+00:00
ces-worker-1,10464022528.00,2025-09-16T09:00:00+00:00
ces-worker-1,10464022528.00,2025-09-16T09:30:00+00:00
ces-worker-1,10464022528.00,2025-09-16T10:00:00+00:00
ces-worker-1,10464022528.00,2025-09-16T10:30:00+00:00
ces-worker-1,10464022528.00,2025-09-16T11:00:00+00:00
ces-worker-1,10464022528.00,2025-09-16T11:30:00+00:00
ces-worker-1,10464022528.00,2025-09-16T12:00:00+00:00
ces-worker-1,10464022528.00,2025-09-16T12:30:00+00:00
ces-worker-1,10464022528.00,2025-09-16T13:00:00+00:00
ces-worker-1,10464022528.00,2025-09-16T13:30:00+00:00
ces-worker-1,10464022528.00,2025-09-16T14:00:00+00:00
ces-worker-1,10464022528.00,2025-09-17T06:30:00+00:00
ces-worker-1,10464022528.00,2025-09-17T07:00:00+00:00
ces-worker-1,10464022528.00,2025-09-17T07:30:00+00:00
ces-worker-1,10464022528.00,2025-09-17T08:00:00+00:00
ces-worker-1,10464022528.00,2025-09-17T08:30:00+00:00
ces-worker-1,10464022528.00,2025-09-17T09:00:00+00:00
ces-worker-1,10464022528.00,2025-09-17T09:30:00+00:00
ces-worker-1,10464022528.00,2025-09-17T10:00:00+00:00
ces-worker-1,10464022528.00,2025-09-17T10:30:00+00:00
ces-worker-1,10464022528.00,2025-09-17T11:00:00+00:00
ces-worker-1,10464022528.00,2025-09-17T11:30:00+00:00
ces-worker-1,10464022528.00,2025-09-17T12:00:00+00:00
ces-worker-1,10464022528.00,2025-09-17T12:30:00+00:00
ces-worker-1,10464022528.00,2025-09-17T13:00:00+00:00
ces-worker-1,10464022528.00,2025-09-17T13:30:00+00:00
ces-worker-1,10464022528.00,2025-09-17T14:00:00+00:00
ces-worker-1,10464022528.00,2025-09-17T14:30:00+00:00
ces-worker-1,10464022528.00,2025-09-18T05:30:00+00:00
ces-worker-1,10464022528.00,2025-09-18T06:00:00+00:00
ces-worker-1,10464022528.00,2025-09-18T06:30:00+00:00
ces-worker-1,10464022528.00,2025-09-18T07:00:00+00:00
ces-worker-1,10464022528.00,2025-09-18T07:30:00+00:00
ces-worker-1,10464022528.00,2025-09-18T08:00:00+00:00
ces-worker-1,10464022528.00,2025-09-18T08:30:00+00:00
ces-worker-1,10464022528.00,2025-09-18T09:00:00+00:00
ces-worker-1,10464022528.00,2025-09-18T09:30:00+00:00
ces-worker-1,10464022528.00,2025-09-18T10:00:00+00:00
ces-worker-1,10464022528.00,2025-09-18T10:30:00+00:00
ces-worker-1,10464022528.00,2025-09-18T11:00:00+00:00
ces-worker-1,10464022528.00,2025-09-18T11:30:00+00:00
ces-worker-1,10464022528.00,2025-09-18T12:00:00+00:00
ces-worker-1,10464022528.00,2025-09-18T12:30:00+00:00
ces-worker-1,10464022528.00,2025-09-18T13:00:00+00:00
ces-worker-1,10464022528.00,2025-09-18T13:30:00+00:00
ces-worker-1,10464022528.00,2025-09-19T06:30:00+00:00
ces-worker-1,10464022528.00,2025-09-19T07:00:00+00:00
ces-worker-1,10464022528.00,2025-09-19T07:30:00+00:00
ces-worker-1,10464022528.00,2025-09-19T08:00:00+00:00
ces-worker-1,10464022528.00,2025-09-19T08:30:00+00:00
ces-worker-1,10464022528.00,2025-09-19T09:00:00+00:00
ces-worker-1,10464022528.00,2025-09-19T09:30:00+00:00
ces-worker-1,10464022528.00,2025-09-19T10:00:00+00:00
ces-worker-1,10464022528.00,2025-09-19T10:30:00+00:00
ces-worker-1,10464022528.00,2025-09-19T11:00:00+00:00
ces-worker-1,10464022528.00,2025-09-19T11:30:00+00:00
ces-worker-1,10464022528.00,2025-09-19T12:00:00+00:00
ces-worker-1,10464022528.00,2025-09-19T12:30:00+00:00
ces-worker-1,10464022528.00,2025-09-19T13:00:00+00:00
ces-worker-1,10464022528.00,2025-09-19T13:30:00+00:00
ces-worker-1,10464022528.00,2025-09-19T14:00:00+00:00
ces-worker-1,10464022528.00,2025-09-19T14:30:00+00:00
ces-worker-1,10464022528.00,2025-09-23T10:00:00+00:00
ces-worker-1,10464022528.00,2025-09-23T10:30:00+00:00
ces-worker-1,10464022528.00,2025-09-23T11:00:00+00:00
ces-worker-1,10464022528.00,2025-09-23T11:30:00+00:00
ces-worker-1,10464022528.00,2025-09-23T12:00:00+00:00
ces-worker-1,10464022528.00,2025-09-23T12:30:00+00:00
ces-worker-1,10464022528.00,2025-09-23T13:00:00+00:00
ces-worker-1,10464022528.00,2025-09-23T13:30:00+00:00
ces-worker-1,10464022528.00,2025-09-23T14:00:00+00:00
ces-worker-1,10464022528.00,2025-09-23T14:30:00+00:00
ces-worker-1,10464022528.00,2025-09-23T15:00:00+00:00
ces-worker-1,10464022528.00,2025-09-24T06:30:00+00:00
ces-worker-1,10464022528.00,2025-09-24T07:00:00+00:00
ces-worker-1,10464022528.00,2025-09-24T07:30:00+00:00
ces-worker-1,10464022528.00,2025-09-24T08:00:00+00:00
ces-worker-1,10464022528.00,2025-09-24T08:30:00+00:00
ces-worker-1,10464022528.00,2025-09-24T09:00:00+00:00
ces-worker-1,10464022528.00,2025-09-24T09:30:00+00:00
ces-worker-1,10464022528.00,2025-09-24T10:00:00+00:00
ces-worker-1,10464022528.00,2025-09-24T10:30:00+00:00
ces-worker-1,10464022528.00,2025-09-24T11:00:00+00:00
ces-worker-1,10464022528.00,2025-09-24T11:30:00+00:00
ces-worker-1,10464022528.00,2025-09-24T12:00:00+00:00
ces-worker-1,10464022528.00,2025-09-24T12:30:00+00:00
ces-worker-1,10464022528.00,2025-09-24T13:00:00+00:00
ces-worker-1,10464022528.00,2025-09-24T13:30:00+00:00
ces-worker-1,10464022528.00,2025-09-24T14:00:00+00:00
ces-worker-1,10464022528.00,2025-09-24T14:30:00+00:00
ces-worker-1,10464022528.00,2025-09-24T15:00:00+00:00
